,Nombre,Descripcion,Img,Info
103,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
104,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
105,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
106,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
107,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
108,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
109,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
110,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
111,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
112,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
113,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
114,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
115,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
116,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
117,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
118,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
119,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
120,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
121,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
122,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
123,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
124,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
125,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
126,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
127,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
128,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
129,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
130,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
131,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
132,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
133,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
134,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
135,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
136,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
137,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
138,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
139,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
140,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
141,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
142,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
143,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
144,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
145,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
146,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
147,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
148,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
149,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
150,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
151,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
152,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
153,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
154,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
155,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
156,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
157,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
158,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
159,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
160,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
161,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
162,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
163,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
164,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
165,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
166,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
167,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
168,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
169,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
170,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
171,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
172,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
173,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
174,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
175,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
176,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
177,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
178,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
179,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
180,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
181,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
182,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
183,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
184,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
185,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
186,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
187,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
188,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
189,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
190,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
191,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
192,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
193,"Boon Oude Kriek 37,5cl","Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.",,
194,Störtebeker Schwarz-Bier,"Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.
Cerveza negra suave, con aromas a maltas tostadas, café, cacao
En boca ligeramente amarga, ligeramente dulce y sabor duradero a cereal tostado.",,
195,Orval,"Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. 
La cerveza es de color claro, algo turbia y su espuma es abundante y jabonosa. El aroma es complejo y recuerda al cuero, especias y otros componentes terrosos.",,
196,Augustiner Lagerbier Hell,"Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. 
Un clásico imprescindible para los amantes de los buenas Lager.",,
197,Schneider Aventinus Weizen-Eisbock,"Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada.",,
198,Aecht Schlenkerla Rauchbier Weizen,"Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar.",,
199,Samuel Adams Boston Lager,"Apariencia: color ambarino cobrizo y espuma persistente y cremosa
Aroma: maltas, caramelo, tostados, floral

Sabor: ligero a dulces de las maltas con un muy suave amargor final.",,
200,Westmalle Dubbel,"Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.",,
201,Duchesse De Bourgogne,"Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.
Se elabora en la región de Flandes, con maltas tostadas y lúpulos de poco amargor, para posteriormente dejarla madurar durante 18 meses en barricas de roble, lo que aporta una gran complejidad y notas frutales y vinosas.",,
202,Tripel Karmeliet 33 cl.,"Cerveza de estilo Belgian Tripel con 8.4% ABV. De color amarillo oro, contiene tres cereales: cebada, avena y trigo. El aroma complejo herbáceo y especiado, cítrico, albaricoque, y notas de especias (clavo). El sabor es herbáceo, especiado y cremoso.",,
203,Weihenstephaner Vitus,"Cerveza refrescante de trigo fuerte y aromática considerada una de las mejores del mundo en su estilo.
Su almacenamiento más prolongado y en frío en las bodegas del monasterio de Weihenstephan, hace que sea especial y muy agradable al paladar. Para su elaboración, se ha utilizado más cantidad de trigo, por lo que no solamente se obtiene un grado de alcohol mal elevado, sino que también se acentúan las notas especiadas y un final más aterciopelado.",,
204,SanFrutos Vikingathor Boris Brew,"Cerveza de 8.2% ABV intensa, oscura y muy lupulada. Con aroma intenso a maltas tostadas, caramelo, fruta madura, resina e hierbas aromáticas. Delicioso armargor, dulzor equilibrado y sensación de calidez. Refrescante y lupulada. 
Una receta de Boris de Mesones.
Vikingathor ya ha sido galardonada con anterioridad con las Medallas de Plata cosechadas en el European Beer Star de 2011 y 2012 y la Medalla de Plata en el Asia Beer Cup 2013.",,
